title,description,url,source_name,published_at,emotion_label,emotion_score
Larry’s risky business,"If you want to know whether the AI bubble is bursting, there's only one publicly traded company that will tell you: Oracle. That's right, the database company. Oracle has burned its boats and pivoted to AI, but not in any kind of usual way. It is not a founda…",https://www.theverge.com/ai-artificial-intelligence/920378/oracle-openai-datacenter-buildout,The Verge,2026-04-29T13:57:16Z,neutral,0.9328
"Back in 2000, Fox Executives Thought the ‘X-Men’ Movie Would Be a ‘Disaster’",The former CEO of Fox Filmed Entertainment recalls a very different outlook about superhero movies at the time.,https://gizmodo.com/fox-x-men-disaster-marvel-movies-2000749312,Gizmodo.com,2026-04-22T12:00:59Z,neutral,0.9244
"After working on the Vision Pro, this AR veteran is going back to phones","This is Lowpass by Janko Roettgers, a newsletter on the ever-evolving intersection of tech and entertainment, syndicated just for The Verge subscribers once a week. When Mark Drummond was working on the Vision Pro at Apple, he had a bit of an epiphany that di…",https://www.theverge.com/column/921101/ar-mobile-pixi,The Verge,2026-04-30T12:04:11Z,neutral,0.7534
"The Bloomberg Terminal Is Getting an AI Makeover, Like It or Not","WIRED spoke with Bloomberg's chief technology officer about the big, chatbot-style changes coming to the iconic platform for traders.",https://www.wired.com/story/the-bloomberg-terminal-is-getting-an-ai-makeover-like-it-or-not/,Wired,2026-04-28T08:30:00Z,neutral,0.9078
Apple Sports now lets you follow scores in a CarPlay widget,"I was disappointed when Apple launched a new Sports iOS widget last year without CarPlay support, but I'm pleased to report that's changing this week. The latest Apple Sports update includes widget support in CarPlay, allowing you to follow live sports scores…",https://www.theverge.com/news/915564/apple-sports-widget-carplay,The Verge,2026-04-21T09:08:22Z,joy,0.6886
Weekly sports quiz: How many tries did England score?,How much attention have you paid to what's happened in the world of sport over the past seven days?,https://www.bbc.com/sport/articles/clyply5e4z3o,BBC News,2026-04-30T07:03:04Z,neutral,0.757
Watch Sony’s AI Robot Compete With—and Beat—Elite Table Tennis Players,"Ace is the first robot that can match serves with some of the best pro players in the world, a new study shows.",https://gizmodo.com/watch-sonys-ai-robot-compete-with-and-beat-elite-table-tennis-players-2000749346,Gizmodo.com,2026-04-22T15:00:02Z,neutral,0.8299
Is Saudi Arabia's sports revolution unravelling?,"Saudi Arabia will withdraw its multi-billion dollar backing of LIV Golf, but what does this mean for the country's other sporting investments? Dan Roan takes a closer look.",https://www.bbc.com/sport/articles/cglp42nnyeko,BBC News,2026-05-01T07:49:18Z,neutral,0.8636
5 Reasons Why Summer Is the Worst Season of the Year,"Summer kind of sucks, and I have the science to prove it.",https://gizmodo.com/5-reasons-why-summer-is-the-worst-season-of-the-year-2000751772,Gizmodo.com,2026-04-29T10:00:49Z,disgust,0.5796
Bloodborne is being turned into an R-rated animated film,"It's not a PC port or a remake, but Sony is returning to the Gothic world of Bloodborne. There aren't many details yet - Sony says that ""plot details are still being kept under wraps"" - but the game is being adapted into ""an R-rated animated feature,"" with Yo…",https://www.theverge.com/entertainment/911576/bloodborne-feature-film,The Verge,2026-04-14T12:35:40Z,neutral,0.8963
WHO says hantavirus is 'not another COVID-19' and that the public health risk 'remains low',"The World Health Organization said eight cases of hantavirus, including three deaths, have been reported as of May 8.",https://www.businessinsider.com/hantavirus-outbreak-not-another-covid-19-pandemic-cruise-ship-who-2026-5,Business Insider,2026-05-09T16:46:36Z,neutral,0.7589
"The simple health habits of top longevity doctors and scientists, who follow the science not trends","Top longevity doctors, scientists, and investors share the simple, evidence-backed habits they use to stay healthy — from sleep and diet to exercise.",https://www.businessinsider.com/longevity-experts-health-aging-hacks-2026-4,Business Insider,2026-04-29T09:01:01Z,neutral,0.9481
Meet two JPMorgan tech dealmakers who just made managing director,JPMorgan just announced its newest class of managing directors — including two former members of Business Insider's Rising Stars of Wall Street list.,https://www.businessinsider.com/jpmorgan-tech-dealmakers-florian-plath-jack-levendoski-managing-director-2026-4,Business Insider,2026-04-24T15:47:39Z,neutral,0.4295
The plan to quietly kill Coyote v. Acme blew up in David Zaslav’s face,"This is The Stepback, a weekly newsletter breaking down one essential story from the tech world. For more on Hollywood trends and streaming culture, follow Charles Pulliam-Moore. The Stepback arrives in our subscribers' inboxes on Sundays at 8AM ET. Opt in fo…",https://www.theverge.com/column/918079/david-zaslav-warner-bros-discovery-coyote-v-acme-batgirl-tax-writeoffs,The Verge,2026-04-24T19:49:55Z,neutral,0.9355
Netflix embraces vertical video with major mobile app update,"Netflix announced on Thursday that it will be launching a redesigned mobile app, which will include a vertical video feed, at the end of April. ""This redesign will better reflect our expanding entertainment offering and make it easier for members to engage ho…",https://www.theverge.com/streaming/913539/netflix-mobile-app-update-vertical-video,The Verge,2026-04-16T20:29:56Z,neutral,0.8433
Meet the 11 rising stars of longevity medicine,"Interest in longevity medicine has exploded in recent years. Here's who's at the forefront of longevity science, investment, and medicine.",https://www.businessinsider.com/rising-stars-longevity-medicine-2026-4,Business Insider,2026-04-27T09:12:01Z,neutral,0.8107
British man pleads guilty to conspiring to steal $8m in virtual currency,The Scottish 24-year-old admits defrauding at least a dozen companies and their employees across the US.,https://www.bbc.com/news/articles/c145yxjrllko,BBC News,2026-04-18T03:37:04Z,disgust,0.661
Alex Karp’s ‘Supervillain’ Manifesto Is Putting Palantir’s Contracts at Risk,"Lawmakers in the UK are raising concerns over the government’s contracts with the controversial, Peter Thiel-backed data company.",https://gizmodo.com/alex-karps-supervillain-manifesto-is-putting-palantirs-contracts-at-risk-2000749105,Gizmodo.com,2026-04-21T16:20:53Z,fear,0.7364
Which Automatic Litter Box Is Best? We Tested Litter-Robot’s Lineup,Whisker’s Litter-Robot name has become synonymous with the automatic litter box. We’ve tested the entire lineup and can help you choose the best model for your household.,https://www.wired.com/story/which-litter-robot-is-right-for-you/,Wired,2026-04-29T10:33:00Z,neutral,0.9672
Lighter than a bar of soap - the shoes worn to shatter marathon record,Sabastian Sawe and Tigst Assefa rewrote the record books in London on Sunday. Was it in part down to the shoes?,https://www.bbc.com/sport/athletics/articles/cn898pn2x08o,BBC News,2026-04-27T12:47:03Z,neutral,0.8855
The AI-designed car is taking shape,"The auto design world is full of advanced 3D visualization tools and VR sculpting platforms, but your average new car still enters the world as a sketch. Those sketches traditionally see endless iteration and refinement from all angles before being turned int…",https://www.theverge.com/transportation/918411/gm-ai-car-design-nissan-neural-concept,The Verge,2026-04-27T11:08:17Z,neutral,0.847
Data center disputes have been local. But the midterms might change that,Anger over the data center boom has spilled into politics with voters unseating local politicians who support them. It's become an issue hard to ignore in the midterm elections.,https://www.npr.org/2026/04/20/g-s1-117729/data-center-disputes-local-midterms,NPR,2026-04-20T09:00:00Z,anger,0.9877
"Days before warning report, all 22 National Science Board members fired in two-sentence email","Just days before it was set to warn that the United States is losing ground to China in science and technology, every member of the National Science Board was abruptly fired via a two-sentence email from the Trump administration.

The administration has provi…",https://boingboing.net/2026/04/29/days-before-warning-report-all-22-national-science-board-members-fired-in-two-sentence-email.html,Boing Boing,2026-04-29T17:34:51Z,sadness,0.354
The Weirdest Wearables From 100 Years Ago,The shockwatch of 1927 walked so Apple Watch could run.,https://gizmodo.com/weirdest-wearables-from-100-years-ago-2000746953,Gizmodo.com,2026-05-06T12:00:08Z,neutral,0.5756
Reed Hastings said STEM is going to be 'overdone',"The cofounder of Netflix said in the age of AI, the focus will shift from STEM to the humanities.",https://www.businessinsider.com/reed-hastings-stem-overdone-double-down-humanities-2026-4,Business Insider,2026-04-27T04:52:01Z,neutral,0.9027
"A viral outbreak on a cruise ship in the Atlantic has killed 3 people, the WHO says",The World Health Organization said that one case of hantavirus infection had been confirmed.,https://www.businessinsider.com/cruise-ship-atlantic-viral-outbreak-deaths-hantavirus-world-health-organization-2026-5,Business Insider,2026-05-03T21:27:42Z,neutral,0.4879
Oura adds birth control support to its period tracker,"Oura is launching a new reproductive health feature that takes hormonal contraception into consideration when tracking period cycles. The smart ring maker describes the Hormonal Birth Control update as a ""first-of-its-kind experience"" inside Oura's existing C…",https://www.theverge.com/tech/921955/oura-hormonal-birth-control-tracking-update,The Verge,2026-05-01T10:24:52Z,neutral,0.799
Tim Cook’s departure is the start of a new era at Apple,"Apple is about to become a very different company. This September, Apple CEO Tim Cook is stepping down and will be replaced by John Ternus, the current head of hardware. But the shift is bigger than just a CEO transition - it's the most significant move yet i…",https://www.theverge.com/tech/916585/tim-cook-apple-new-era,The Verge,2026-04-22T22:05:10Z,sadness,0.3164
'Good business' for PGA Tour if LIV players return - McIlroy,"Rory McIlroy says bringing back LIV Golf defectors would be ""good business"" for the PGA Tour amid doubts over the future of the breakaway series.",https://www.bbc.com/sport/golf/articles/cwy27wkrzk9o,BBC News,2026-05-09T06:54:50Z,neutral,0.4621
WWE Videos Made by a Glitching AI That Sounds Like It’s Being Strangled Are the Future of Entertainment,It sounds awful. I can't stop listening.,https://gizmodo.com/wwe-videos-made-by-a-glitching-ai-that-sounds-like-its-being-strangled-are-the-future-of-entertainment-2000751966,Gizmodo.com,2026-04-29T01:03:22Z,disgust,0.8141
Spotify is partnering with Peloton for guided workouts,"Spotify has dabbled in customized running playlists, but now it's diving more firmly into the fitness space with curated playlists and content from creators like Yoga with Kassandra, Sweaty Studio, Chloe Ting, and Pilates Body by Raven. Not only that, but Pre…",https://www.theverge.com/tech/918861/spotify-peloton-guided-workouts,The Verge,2026-04-27T11:18:12Z,neutral,0.9381
"Your Late Night Snacking Isn’t Doing Your Gut Any Favors, Study Finds","Eating late at night might worsen people's digestive problems, including constipation.",https://gizmodo.com/your-late-night-snacking-isnt-doing-your-gut-any-favors-study-finds-2000750026,Gizmodo.com,2026-04-23T20:30:07Z,disgust,0.823
Where to watch Hawks vs. Knicks live streams from anywhere,"The NBA Playoffs are underway, and Atlanta stays in New York for Game 2. We'll show you where to watch Hawks vs. Knicks live streams online.",https://www.businessinsider.com/guides/streaming/where-to-watch-hawks-vs-knicks-g2-nba-playoffs-2026,Business Insider,2026-04-20T18:24:18Z,neutral,0.9366
Join Our Livestream: Musk v. Altman and the Future of OpenAI,"On May 8, we’re going live to answer your questions about the Musk v. Altman trial that could determine the fate of OpenAI.",https://www.wired.com/story/livestream-musk-v-altman-trial/,Wired,2026-04-22T10:00:00Z,neutral,0.9112
Dreame’s Smart Fridge Has a Robot Arm That Can Put Your Groceries Away for You,"The N1 Refrigerator also has AI that can make recommendations based on your health and activity data. Alas, it's only a concept.",https://gizmodo.com/dreames-smart-fridge-has-a-robot-arm-that-can-put-your-groceries-away-for-you-2000751983,Gizmodo.com,2026-04-29T14:15:32Z,neutral,0.7579
Brendan Carr’s war on wokeness targets inclusive children’s television,"Under the guidance of consummate bully / chairman Brendan Carr, the FCC is taking steps towards cracking down on children's entertainment that in any way explores the complexities of gender identity. On Wednesday, the FCC's Media Bureau announced that it is s…",https://www.theverge.com/entertainment/917810/brendan-carr-fcc-transgender-nonbinary-childrens-programming,The Verge,2026-04-23T21:36:46Z,fear,0.5735
"25 years later, is it time for a new iPod?","This is Lowpass by Janko Roettgers, a newsletter on the ever-evolving intersection of tech and entertainment, syndicated just for The Verge subscribers once a week. This year marks the 25th anniversary of the original iPod. With its monochrome display, mechan…",https://www.theverge.com/column/917369/sleevenote-new-ipod-streaming-bandcamp-music,The Verge,2026-04-23T13:09:02Z,neutral,0.8193
MrBeast teases a new membership program at an invite-only advertiser party,MrBeast is planning a membership program as the world's biggest social media star looks beyond YouTube to build a diversified entertainment company.,https://www.businessinsider.com/mrbeast-jimmy-donaldson-teases-new-membership-program-private-advertiser-event-2026-5,Business Insider,2026-05-12T19:26:44Z,neutral,0.8439
"Nanoleaf bets its future on robots, red light therapy, and AI","Smart lighting company Nanoleaf has been unusually quiet recently. While competitors such as Govee and Philips Hue have been pumping out new products and innovative features at an impressive pace, Nanoleaf has launched just a handful of smart lighting product…",https://www.theverge.com/tech/926342/nanoleaf-smart-lighting-ai-robotics-red-light-wellness,The Verge,2026-05-08T12:20:27Z,neutral,0.7319
Fox News AI Newsletter: How Disney fans will experience AI,"New Disney CEO Josh D'Amaro outlined a new growth strategy, which includes a focus on investing in content as well as artificial intelligence technology.",https://www.foxnews.com/tech/ai-newsletter-disney-fans-experience-ai,Fox News,2026-05-08T12:13:21Z,neutral,0.8943
Google’s Screenless Fitbit Air Relies on Gemini to Be Your Personal Health Coach,"Google using AI to understand your fitness and health data, and then offer guidance? Who could have predicted that?!",https://gizmodo.com/googles-screenless-fitbit-air-relies-on-gemini-to-be-your-personal-health-coach-2000755566,Gizmodo.com,2026-05-07T14:00:40Z,surprise,0.868
"Joanna Stern is not a robot, but she lived with them","My guest today is longtime friend of the show Joanna Stern. You all know Joanna: she is the former senior personal technology columnist for The Wall Street Journal, a former Decoder guest host, one of my cofounders here at The Verge, and also just one of my v…",https://www.theverge.com/podcast/926752/joanna-stern-i-am-not-a-robot-new-things-media-youtube-ai-automation,The Verge,2026-05-11T13:48:57Z,neutral,0.6329
Tim Cook had bold visions for Apple. See which ones came true.,"From augmented reality to Apple's role in health, Tim Cook had grand visions for the company. Some came true, while others were never fully realized.",https://www.businessinsider.com/tim-cook-visions-predictions-for-apple-2026-4,Business Insider,2026-04-23T15:54:35Z,neutral,0.745
Should schools limit kids’ screen time? The science is murky,Los Angeles public schools are limiting computer use in classrooms over health concerns. But experts say that approach is missing the problem,https://www.scientificamerican.com/article/should-schools-limit-kids-screen-time-the-science-is-murky/,Scientific American,2026-04-30T11:00:00Z,neutral,0.7846
SpaceX has a $55 billion plan to build AI chips in Texas,"Elon Musk's plans to get into the AI chip manufacturing business are going to be costly. As the New York Times and CNBC report, SpaceX is planning to invest at least $55 billion into its ""Terafab"" chip plant in Austin, Texas. That's according to the details o…",https://www.theverge.com/ai-artificial-intelligence/926356/spacex-terafab-plant-cost-ai-chips,The Verge,2026-05-07T19:26:16Z,neutral,0.6205
Trump’s New Wildfire Agency Is Betting on a Risky Firefighting Strategy,The new U.S. Wildland Fire Service is pursuing a management strategy that isn't backed by science.,https://gizmodo.com/trumps-new-wildfire-agency-is-betting-on-a-risky-firefighting-strategy-2000749651,Gizmodo.com,2026-04-22T20:35:29Z,neutral,0.9622
Some Locals Are Using AI to Protest Against Data Centers,Advocacy against data centers isn't necessarily all about being anti-AI.,https://gizmodo.com/some-locals-are-using-ai-to-protest-against-data-centers-2000744027,Gizmodo.com,2026-04-15T14:10:43Z,neutral,0.5031
Here's what Disney CEO Josh D'Amaro told employees after beating Wall Street's earnings expectations,Disney exceeded Wall Street's earnings expectations last quarter. Read CEO Josh D'Amaro's full memo to Disney employees.,https://www.businessinsider.com/disney-ceo-josh-damaro-memo-employees-earnings-streaming-tech-2026-5,Business Insider,2026-05-06T14:44:56Z,neutral,0.7869
The Case for Tracking Everything,"If every step taken, hour slept, and heartbeat can be measured, recorded, and analyzed, are we taking control of our health or losing the plot entirely?",https://gizmodo.com/the-case-for-tracking-everything-2000743959,Gizmodo.com,2026-04-15T13:00:03Z,neutral,0.7516
"All Your Hantavirus Questions, Answered by an Infectious Disease Expert","Here’s what you need to know, from why the cruise ship outbreak won’t spark the next pandemic to how hantavirus spreads.",https://www.wired.com/story/all-your-hantavirus-questions-answered-by-an-infectious-disease-expert/,Wired,2026-05-12T15:33:59Z,neutral,0.9398
OpenAI loses 3 top executives as it cuts back on 'side quests',OpenAI loses three executives as it sharpens its business focus and faces rising pressure from Anthropic.,https://www.businessinsider.com/openai-executive-departures-shake-up-leadership-team-2026-4,Business Insider,2026-04-18T00:00:12Z,sadness,0.7499
"Oura, Vida Health partner to 'personalize' your metabolic care, so it gets real use","Oura, Vida Health announced a partnership to bring your health data into better use if you ever need a doctor's visit.",https://www.androidcentral.com/wearables/oura-ring/oura-vida-health-partner-to-personalize-your-metabolic-care-so-it-gets-real-use,Android Central,2026-04-15T09:11:00Z,neutral,0.6617
NASA Wants to Put Nuclear Reactors on the Moon,The White House has announced that NASA will work with the Departments of Defense and Energy to put nuclear reactors in orbit and on the surface of the moon.,https://www.wired.com/story/nasa-wants-to-put-nuclear-reactors-on-the-moon/,Wired,2026-04-15T18:55:52Z,neutral,0.7701
The Challenges of Scaling a Technology for Social Good,A call to reinvent the toilet for underserved markets led to breakthrough innovation—and hurdles to adoption.,https://hbr.org/podcast/2026/04/the-challenges-of-scaling-a-technology-for-social-good,Harvard Business Review,2026-04-14T12:05:00Z,neutral,0.8192
Elon Musk Seemingly Admits xAI Has Used OpenAI's Models to Train Its Own,"While answering questions under oath, Musk argued it’s standard practice for AI labs to use their competitors' models.",https://www.wired.com/story/elon-musk-distill-openai-models-partly-xai/,Wired,2026-04-30T17:41:14Z,neutral,0.5216
FACT FOCUS: RFK Jr. says the US is limiting measles outbreaks better than the rest of the world,"Health Secretary Robert F. Kennedy Jr. has said that the U.S., under his leadership, is limiting the spread of measles better than any other country in the...",https://www.yahoo.com/news/articles/fact-focus-rfk-jr-says-220937400.html,Yahoo Entertainment,2026-04-17T22:09:37Z,neutral,0.7969
Is this ‘de-extinction’ project actually onto something?,"Dallas-based genetics and biotech startup Colossal has raised hundreds of millions of dollars from venture capitalists, the CIA, and Peter Thiel, among others. Its buzzy ""de-extinction"" projects aim to ""bring back"" lost animals like the woolly mammoth, the Ta…",https://www.theverge.com/science/921088/colossal-de-extinction-antelope-reproduction,The Verge,2026-04-30T11:53:07Z,neutral,0.53
Stop the presses — the best entry-level LG OLED TV has dropped to only $599 at Best Buy,"The LG OLED B5 Series has crashed to just $599 during Best Buy's current sale, but how long will it last?",https://www.androidcentral.com/streaming-tv/stop-the-presses-the-best-entry-level-lg-oled-tv-has-dropped-to-only-usd599-at-best-buy,Android Central,2026-04-29T17:08:49Z,neutral,0.4458
Scientists see Trump's firing of the National Science Board as an attack on research,The move follows an administration push for cuts to the NSF and raises concerns in the scientific community that it could jeopardize a tradition of independent decisions about federal science grants.,https://www.npr.org/2026/04/28/nx-s1-5801465/national-science-board-trump-firing,NPR,2026-04-28T22:32:07Z,fear,0.8853
Google's Internal Politics Leave It Playing Catch-Up On AI Coding,"An anonymous reader quotes a report from Bloomberg: At Google, leaders are anxious about falling behind in the race to offer AI coding tools, especially as rivals like Anthropic PBC offer more effective and popular tools to businesses, according to people fam…",https://developers.slashdot.org/story/26/04/21/1655253/googles-internal-politics-leave-it-playing-catch-up-on-ai-coding,Slashdot.org,2026-04-21T18:00:00Z,fear,0.8133
Why Midi Health holds AI office hours,"Joanna Strober of Midi Health thought she was building a women's health company. Then AI changed everything, she tells BI's Jamie Heller.",https://www.businessinsider.com/midi-health-built-chatbot-and-holds-ai-office-hours-2026-4,Business Insider,2026-04-16T20:50:49Z,surprise,0.5831
"Here's what Wall Street doesn't get about young investors, according to a Gen Z founder","Eve Halimi and Anam Lakhani created Alinea, an investment platform designed for the next generation of wealth-builders, in 2021.",https://www.businessinsider.com/personal-finance/gen-zalinea-founder-explains-how-to-connect-with-investors-2026-4,Business Insider,2026-04-21T09:09:01Z,neutral,0.8019
Google DeepMind workers are unionizing over AI military contracts,"Staffers at Google DeepMind's headquarters have voted to unionize in an effort to prevent the AI firm's technology from being used by Israel and the US military. In a letter to Google management on Tuesday, employees requested that the Communication Workers U…",https://www.theverge.com/tech/923918/google-deepmind-union-bid-ai-military-israel,The Verge,2026-05-05T10:08:33Z,neutral,0.4777
Testing for ‘Bad Cholesterol’ Doesn’t Tell the Whole Story,There’s a more accurate way of measuring who’s at risk for cholesterol-related health issues. So why don’t more doctors use it?,https://www.wired.com/story/moving-beyond-bad-cholesterol-test/,Wired,2026-05-11T18:40:37Z,neutral,0.9003
The 19 Most Exciting Cars at the Beijing Auto Show 2026,The cars that debuted at the Beijing Auto Show demonstrate that the Chinese market is now at the forefront of electrification and intelligence. These are the 19 most intriguing models we saw.,https://www.wired.com/story/most-exciting-cars-at-beijing-auto-show-auto-china-2026/,Wired,2026-05-09T10:00:00Z,neutral,0.7399
New a16z-Backed News Brand Wants to Be Like Cramming Every X Post Into Your Brain at Once,"MTS is a little like cable TV news, but backed by a Silicon Valley VC.",https://gizmodo.com/new-a16z-backed-news-brand-wants-to-be-like-cramming-every-x-post-into-your-brain-at-once-2000748858,Gizmodo.com,2026-04-21T09:00:23Z,neutral,0.9164
Marketers say NAD+ pills and infusions can boost longevity. What's the evidence?,"Wellness and longevity influencers are pushing a compound called NAD+. There's scientific interest in its potential, but researchers say the marketing claims have gotten ahead of the science.",https://www.npr.org/2026/05/11/nx-s1-5813664/nad-infusions-supplements-longevity-science,NPR,2026-05-11T09:00:00Z,neutral,0.9489
What an AI-designed car looks like,"The cars rolling off production lines right now are filled with old ideas. From beginning to end, the creation of a new vehicle can take five years or longer - which is plenty of time for a lot of tastes, politics, and gas prices to change. That's one reason …",https://www.theverge.com/podcast/923974/ai-car-design-codex-vergecast,The Verge,2026-05-05T13:42:18Z,neutral,0.9269
Every test at the US Army's mad science lab,"As the military prepares for conflicts in harsher climates, the US Army's Natick Labs invests millions to improve what soldiers wear, eat, and carry.",https://www.businessinsider.com/why-us-army-spends-millions-destroying-own-gear-2026-4,Business Insider,2026-04-17T19:00:58Z,neutral,0.5103
I Watched 'Harry Potter' Inside an 87-Foot Dome. Here's What It Was Like,Entertainment venue Cosm is reimagining Harry Potter and the Sorcerer's Stone with immersive 3D graphics. I learned how it all came together.,https://www.cnet.com/tech/home-entertainment/harry-potter-shared-reality-cosm/,CNET,2026-05-06T12:01:06Z,neutral,0.5971
Telehealth Abortion Is Still Possible Without Mifepristone,Courts may restrict access to the popular abortion medication mifepristone in the United States. Telehealth providers have backup plans in place.,https://www.wired.com/story/telehealth-abortion-is-still-possible-without-mifepristone/,Wired,2026-05-05T21:05:40Z,neutral,0.9101
Rivian’s revenue is up as R2 production kicks into gear,"Rivian reported its first quarter earnings of 2026, providing us a closer look at the company's financial health as it kicks off production for the crucial R2 electric vehicle. We've already got Rivian's production and delivery statement from the first three …",https://www.theverge.com/transportation/921295/rivian-q1-2026-earnings-revenue-profit-r2,The Verge,2026-04-30T19:54:45Z,neutral,0.7637
"Business leaders, including Elon Musk and Dana White, react to the shooting at the DC press dinner","Here's what big names in the business world are saying about the shooting  at the annual White House Correspondents' Dinner in Washington, DC.",https://www.businessinsider.com/business-leaders-reactions-white-house-correspondents-dinner-shooting-donald-trump-2026-4,Business Insider,2026-04-26T05:05:50Z,neutral,0.8741
A $2 billion tech firm is pausing 401(k) contributions for staff in the latest corporate benefit rollback,"TTEC, a mid-size technology customer experience firm, is the latest company found to be cutting a core benefit, Business Insider has learned.",https://www.businessinsider.com/ttec-pauses-401k-contributions-benefit-cuts-consulting-deloitte-zoom-2026-5,Business Insider,2026-05-08T09:20:44Z,neutral,0.829
‘Saros’ Is a Colorfully Aggressive Descent Into Roguelike Madness,"Housemarque returns to the world of roguelikes and cosmic horror with 'Saros,' its latest run at PlayStation 5 greatness.",https://gizmodo.com/saros-is-a-colorfully-aggressive-descent-into-roguelike-madness-2000750119,Gizmodo.com,2026-04-24T11:00:34Z,fear,0.9708
University of Washington CS professor explains what's changing for young software engineers,"University of Washington computer science professor Dan Grossman said ""we haven't come anywhere close to the limit"" of what computers can do.",https://www.businessinsider.com/cs-professor-explains-changes-software-engineering-ai-2026-4,Business Insider,2026-04-29T09:33:01Z,neutral,0.9092
YouTube TV finally lets you build your own multiview,The new feature is currently available to a limited number of users in the U.S.,https://www.androidcentral.com/streaming-tv/youtube-tv/youtube-tv-fully-customizable-multiview-rolling-out,Android Central,2026-04-23T11:37:41Z,neutral,0.9462
